,players_mv,players_name,domestic_team,country_name,domestic_team_country,plays_domestically
265,1500000.0,Ahmed Fatouh,zamalek-sc/startseite/verein/664,Egypt,Egypt,Y
266,800000.0,Mohamed Hany,el-ahly-kairo/startseite/verein/7,Egypt,Egypt,Y
267,1500000.0,Hamdi Fathi,el-ahly-kairo/startseite/verein/7,Egypt,Egypt,Y
268,400000.0,Marwan Ateya,el-ahly-kairo/startseite/verein/7,Egypt,Egypt,Y
269,800000.0,Mahmoud Hamada,pharco-fc/startseite/verein/47058,Egypt,Egypt,Y
270,11000000.0,Mahmoud Trezeguet,trabzonspor/startseite/verein/449,Egypt,Turkey,N
271,70000000.0,Mohamed Salah,fc-liverpool/startseite/verein/31,Egypt,England,N
272,1800000.0,Mostafa Fathi,pyramids-fc/startseite/verein/44664,Egypt,Egypt,Y
273,6000000.0,Mostafa Mohamed,fc-nantes/startseite/verein/995,Egypt,France,N
274,1200000.0,Ahmed Yasser Rayan,cleopatra-fc/startseite/verein/57439,Egypt,Egypt,Y
275,1000000.0,Gabaski,bank-el-ahly/startseite/verein/62448,Egypt,Egypt,Y
276,2000000.0,Mohamed Abdelmonem,el-ahly-kairo/startseite/verein/7,Egypt,Egypt,Y
277,600000.0,Mahmoud Marei,coca-cola-fc/startseite/verein/68770,Egypt,Egypt,Y
278,400000.0,Ahmed Ramadan,cleopatra-fc/startseite/verein/57439,Egypt,Egypt,Y
279,1000000.0,Mohamed Hamdi,pyramids-fc/startseite/verein/44664,Egypt,Egypt,Y
280,200000.0,Hesham Salah,ittihad-alexandria/startseite/verein/3963,Egypt,Egypt,Y
281,800000.0,Mohanad Lasheen,coca-cola-fc/startseite/verein/68770,Egypt,Egypt,Y
282,400000.0,Ghanam Mohamed,coca-cola-fc/startseite/verein/68770,Egypt,Egypt,Y
283,800000.0,Mohamed Reda,coca-cola-fc/startseite/verein/68770,Egypt,Egypt,Y
284,800000.0,Ahmed Abdelkader,el-ahly-kairo/startseite/verein/7,Egypt,Egypt,Y
285,4500000.0,Zizo,zamalek-sc/startseite/verein/664,Egypt,Egypt,Y
286,700000.0,Hussein El Shahat,el-ahly-kairo/startseite/verein/7,Egypt,Egypt,Y
287,6000000.0,Omar Marmoush,vfl-wolfsburg/startseite/verein/82,Egypt,Germany,N
288,600000.0,Kahraba,el-ahly-kairo/startseite/verein/7,Egypt,Egypt,Y
289,38000000.0,Aaron Ramsdale,fc-arsenal/startseite/verein/11,England,England,Y
290,4000000.0,Sam Johnstone,crystal-palace/startseite/verein/873,England,England,Y
291,30000000.0,John Stones,manchester-city/startseite/verein/281,England,England,Y
292,25000000.0,Tyrone Mings,aston-villa/startseite/verein/405,England,England,Y
293,16000000.0,Levi Colwill,fc-chelsea-u23/startseite/verein/9250,England,England,Y
294,65000000.0,Trent Alexander-Arnold,fc-liverpool/startseite/verein/31,England,England,Y
295,13000000.0,Kieran Trippier,newcastle-united/startseite/verein/762,England,England,Y
296,35000000.0,Kalvin Phillips,manchester-city/startseite/verein/281,England,England,Y
297,32000000.0,Conor Gallagher,fc-chelsea/startseite/verein/631,England,England,Y
298,55000000.0,James Maddison,leicester-city/startseite/verein/1003,England,England,Y
299,110000000.0,Phil Foden,manchester-city/startseite/verein/281,England,England,Y
300,70000000.0,Jack Grealish,manchester-city/startseite/verein/281,England,England,Y
301,90000000.0,Harry Kane,tottenham-hotspur/startseite/verein/148,England,England,Y
302,25000000.0,Jordan Pickford,fc-everton/startseite/verein/29,England,England,Y
303,35000000.0,Marc Guéhi,crystal-palace/startseite/verein/873,England,England,Y
304,25000000.0,Harry Maguire,manchester-united/startseite/verein/985,England,England,Y
305,18000000.0,Lewis Dunk,brighton-amp-hove-albion/startseite/verein/1237,England,England,Y
306,35000000.0,Luke Shaw,manchester-united/startseite/verein/985,England,England,Y
307,15000000.0,Kyle Walker,manchester-city/startseite/verein/281,England,England,Y
308,80000000.0,Declan Rice,west-ham-united/startseite/verein/379,England,England,Y
309,120000000.0,Jude Bellingham,borussia-dortmund/startseite/verein/16,England,Germany,N
310,10000000.0,Jordan Henderson,fc-liverpool/startseite/verein/31,England,England,Y
311,30000000.0,Eberechi Eze,crystal-palace/startseite/verein/873,England,England,Y
312,80000000.0,Marcus Rashford,manchester-united/startseite/verein/985,England,England,Y
313,110000000.0,Bukayo Saka,fc-arsenal/startseite/verein/11,England,England,Y
314,18000000.0,Callum Wilson,newcastle-united/startseite/verein/762,England,England,Y
315,45000000.0,Mike Maignan,ac-mailand/startseite/verein/5,France,Italy,N
316,8000000.0,Alphonse Areola,west-ham-united/startseite/verein/379,France,England,N
317,60000000.0,Dayot Upamecano,fc-bayern-munchen/startseite/verein/27,France,Germany,N
318,35000000.0,Ibrahima Konaté,fc-liverpool/startseite/verein/31,France,England,N
319,60000000.0,Theo Hernández,ac-mailand/startseite/verein/5,France,Italy,N
