country_name,team,elo
Costa Rica,Club Sport Herediano,1474
Costa Rica,Cartaginés,1413
Costa Rica,Deportiva San Carlos,1355
Costa Rica,Sporting San José FC,1354
Costa Rica,Santos de Guápiles,1323
Costa Rica,Brujas,1309
Costa Rica,Asoc. Dep. y Rec. Jicaral Sercoba,1305
Costa Rica,Águilas,1300
Costa Rica,Pérez Zeledón,1299
Costa Rica,Ramonense PO,1297
Costa Rica,Barrio México,1292
Costa Rica,Puntarenas FC,1287
Costa Rica,Belén Siglo XXI,1287
Costa Rica,Limón,1284
Costa Rica,AD Grecia FC,1283
Costa Rica,AD Guanacasteca,1282
Costa Rica,CS Uruguay,1281
Costa Rica,Guadalupe FC,1276
Costa Rica,AS Puma Generaleňa,1254
Costa Rica,La U Universitarios,1247
Costa Rica,Deportiva Carmelita,1229
Costa Rica,Orión,1218
Costa Rica,AD Municipal Liberia,1217
Croatia,Dinamo Zagreb,1663
Croatia,Hajduk Split,1554
Croatia,Osijek,1497
Croatia,Rijeka,1479
Croatia,Lokomotiva,1387
Croatia,HNK Gorica,1362
Croatia,Slaven,1326
Croatia,NK Istra 1961,1310
Croatia,Lučko,1303
Croatia,NK Varaždin,1293
Croatia,Karlovac,1287
Croatia,RNK Split,1277
Croatia,NK Zadar,1265
Croatia,Medimurje,1264
Croatia,Šibenik,1250
Croatia,NK Zagreb,1241
Croatia,Cibalia,1237
Croatia,Hrvatski Dragovoljac,1228
Croatia,NK Rudeš,1225
Croatia,Croatia Sesvete,1209
Croatia,Zaprešić,1197
Cyprus,APOEL Nicosia,1564
Cyprus,Apollon Limassol,1563
Cyprus,AEK Larnaca,1529
Cyprus,Pafos FC,1500
Cyprus,Aris Limassol,1495
Cyprus,Anorthosis,1487
Cyprus,Omonia Nicosia,1466
Cyprus,AEL Limassol,1405
Cyprus,Nea Salamis,1356
Cyprus,Alki Oroklinis,1296
Cyprus,Olympiakos Nicosia,1291
Cyprus,Ethnikos Achnas,1290
Cyprus,Enosis Paralimni,1286
Cyprus,Doxa Katokopia,1286
Cyprus,Othellos Athienou FC,1279
Cyprus,Akritas Chlorakas,1266
Cyprus,Ermis Aradippou,1260
Cyprus,APOP / Kinyras,1253
Cyprus,APEP,1246
Cyprus,Karmiotissa Pano Polemidion,1244
Cyprus,PAEEK,1240
Cyprus,AEZ Zakakiou,1232
Cyprus,AE Kouklion,1221
Cyprus,Anagennisi Deryneia,1216
Cyprus,Alki,1194
Cyprus,Ayia Napa,1175
Czech Republic,Slavia Prague,1719
Czech Republic,Sparta Prague,1685
Czech Republic,Viktoria Plzeň,1566
Czech Republic,Slovácko,1521
Czech Republic,SK Sigma Olomouc,1477
Czech Republic,Bohemians 1905,1452
Czech Republic,Baník Ostrava,1440
Czech Republic,Slovan Liberec,1424
Czech Republic,Mladá Boleslav,1421
Czech Republic,Jablonec,1391
Czech Republic,Hradec Králové,1380
Czech Republic,FK Pardubice,1366
Czech Republic,České Budějovice,1346
Czech Republic,Vysočina Jihlava,1341
Czech Republic,Teplice,1341
Czech Republic,FC Fastav Zlin,1341
Czech Republic,Znojmo,1331
Czech Republic,FC Zbrojovka Brno,1301
Czech Republic,Kladno,1298
Czech Republic,Viktoria Žižkov,1290
Czech Republic,Dukla Praha,1286
Czech Republic,MFK Karviná,1272
Czech Republic,Ústí nad Labem,1261
Czech Republic,Příbram,1259
Czech Republic,Opava,1220
Denmark,København,1574
Denmark,FC Midtjylland,1547
Denmark,Brøndby,1425
Denmark,Nordsjælland,1417
Denmark,AGF,1411
Denmark,Viborg,1394
Denmark,Odense Boldklub,1368
Denmark,Randers FC,1364
Denmark,Silkeborg,1345
Denmark,AaB,1337
Denmark,Vestsjælland,1286
Denmark,SønderjyskE,1272
Denmark,Esbjerg fB,1269
Denmark,Vendsyssel FF,1268
Denmark,Vejle Boldklub,1267
Denmark,Hobro,1258
Denmark,J.S. Groupe Bazano,1257
Denmark,Ocean Pacifique,1256
Denmark,Nkoyi Bilombe,1254
Denmark,AS Nyuki de Butembo,1250
Denmark,Nord Sport,1250
Denmark,El Dorado,1248
Denmark,Lyngby,1247
Denmark,FC Simba,1243
Denmark,Mont Bleu,1242
Denmark,FC Renaissance du Congo,1241
Denmark,Socozaki,1238
Denmark,AC Rangers,1238
Denmark,Cibao,1236
Denmark,AC Horsens,1235
Denmark,FC Helsingør,1234
Denmark,Club Atletico Pantoja,1228
Denmark,HB Køge,1189
Ecuador,Independiente,1689
Ecuador,LDU de Quito,1599
Ecuador,Emelec,1525
Ecuador,Universidad Católica,1521
Ecuador,Barcelona SC,1517
Ecuador,Aucas,1500
Ecuador,Delfin SC,1459
Ecuador,Deportivo Cuenca,1423
Ecuador,Orense SC,1416
Ecuador,Técnico Universitario,1411
Ecuador,El Nacional,1387
Ecuador,River Plate Ecuador,1371
Ecuador,Macará,1368
Ecuador,Cumbayá FC,1357
Ecuador,Mushuc Runa SC,1356
Ecuador,Liga de Loja,1355
Ecuador,Gualaceo SC,1351
Ecuador,Imbabura,1350
Ecuador,Deportivo Quevedo,1341
Ecuador,Nueve de Octubre,1341
Ecuador,Manta,1340
Ecuador,Deportivo Quito,1314
Ecuador,CD America de Quito,1313
Ecuador,LDU Portoviejo,1308
Ecuador,Clan Juvenil,1277
Ecuador,ESPOLI,1270
Ecuador,CD Olmedo,1226
Ecuador,Fuerza Amarilla SC,1202
Egypt,Al Ahly,1708
Egypt,El Zamalek,1532
Egypt,Pyramids FC,1532
Egypt,Future FC,1416
Egypt,Al Masry,1385
Egypt,Al Mokawloon Al Arab,1380
Egypt,Smouha SC,1379
Egypt,ENPPI,1378
Egypt,El Geish,1357
Egypt,Pharco FC,1356
Egypt,Ismaily SC,1348
Egypt,Al-Ittihad Al-Sakandary,1346
Egypt,National Bank,1339
Egypt,Ittihad El-Shorta,1326
Egypt,Ceramica Cleopatra,1320
Egypt,Petrojet,1315
Egypt,Telephonaat Beni Suef,1309
Egypt,El Gounah,1304
Egypt,Wadi Degla FC,1302
Egypt,Olympic El Qanah FC,1295
Egypt,El Entag El Harby,1286
Egypt,El-Sharkia Lel Dokhan (Eastern Company SC),1284
Egypt,El Dakhleya,1272
Egypt,Nogoom FC,1267
Egypt,El Raja,1259
Egypt,Al Sharkeyah,1257
Egypt,El Mansura,1254
Egypt,El Minya,1253
Egypt,Ghazl El Mehalla,1249
Egypt,Haras El-Hodood SC,1249
Egypt,Aswan FC,1246
Egypt,Asyut Petrol,1246
Egypt,El Nasr Tadeen,1243
Egypt,Misr El Makasa,1238
Egypt,FC Masr,1234
Egypt,Al Nasr FC,1228
Egypt,Tanta,1220
Egypt,Ala'ab Damanhour,1190
El Salvador,Alianza FC,1457
El Salvador,Águila,1408
El Salvador,CD FAS,1336
El Salvador,Isidro Metapán,1304
El Salvador,Vista Hermosa,1304
El Salvador,Juventud Independiente,1301
El Salvador,Santa Tecla FC,1290
El Salvador,Once Municipal,1284
El Salvador,L.A. Firpo,1280
El Salvador,CD EL Vencedor,1276
El Salvador,CD Platense Municipal,1267
El Salvador,Municipal Limeño,1263
El Salvador,Atlético Balboa,1263
El Salvador,Jocoro FC,1254
El Salvador,Independiente FC,1250
El Salvador,Dragón,1249
El Salvador,CD Audaz,1242
El Salvador,CD Chalatenango,1242
El Salvador,Pasaquina F.C.,1228
El Salvador,Atlético Marte,1221
El Salvador,CD Sonsonate,1214
El Salvador,Alacranes del Norte,1210
El Salvador,UES,1203
England,Manchester City,2075
England,Liverpool FC,1885
England,Arsenal,1869
England,Manchester United,1825
England,Newcastle United,1823
England,Brentford FC,1779
England,Aston Villa,1779
England,Brighton & Hove Albion,1755
England,Tottenham Hotspur,1717
England,Chelsea FC,1667
England,West Ham United,1661
England,Crystal Palace,1661
England,Fulham,1642
England,Wolverhampton Wanderers,1610
England,Leicester City,1598
England,Everton FC,1591
England,Nottingham Forest,1579
England,Burnley,1567
England,AFC Bournemouth,1531
England,Stoke City,1526
England,Swansea City,1515
England,Wigan Athletic,1515
England,Leeds United,1502
England,Birmingham City,1498
England,West Brom,1478
England,Bolton Wanderers,1475
England,Cardiff City,1472
England,Hull City,1470
England,Blackpool,1469
England,Sheffield United FC,1468
England,Southampton,1461
England,Blackburn Rovers F.C.,1459
England,Queens Park Rangers,1448
England,Middlesbrough,1443
England,Sunderland,1432
England,Reading,1431
England,Portsmouth,1428
